exposure,outcome,SNP,b,se,p,lci,uci
glutamine,CAD,rs11685766,-4.26735849056604,1.943,0.0280724071705821,-8.07556851252736,-0.459148468604714
glutamine,CAD,rs2199619,-4.86796296296296,1.89294444444444,0.0101219423530588,-8.57806589880926,-1.15786002711667
glutamine,CAD,rs2657879,1.95193333333333,0.825426666666667,0.0180419136813861,0.334126794787718,3.56973987187895
glutamine,CAD,rs2657896,2.70414965986395,0.873897959183674,0.00197241975777022,0.991341133700892,4.416958186027
glutamine,CAD,rs7304944,2.71343511450382,1.13561832061069,0.0168763745349393,0.487664105923011,4.93920612308462
glutamine,CAD,All - Inverse variance weighted,1.4697636169459,1.19663800871851,0.219355334967599,-0.875603782674108,3.81513101656591
glutamine,CAD,All - MR Egger,6.42010400718834,1.15754412744151,0.0115566275879715,4.15135920688714,8.68884880748955
tryptophan,CAD,rs10171387,-5.37575,2.288925,0.0188445640306412,-9.86196056331334,-0.889539436686658
tryptophan,CAD,rs10501687,-6.12142857142857,2.34014285714286,0.00890094495027741,-10.7080242901072,-1.53483285274991
tryptophan,CAD,rs10822056,4.49095238095238,2.19504761904762,0.040761527631125,0.188738103268652,8.79316665863611
tryptophan,CAD,rs10846667,-6.338,2.26886666666667,0.00521466449643153,-10.7848969523901,-1.89110304760989
tryptophan,CAD,rs11804149,4.8280487804878,2.27668292682927,0.0339512252483016,0.365832239685201,9.29026532129041
tryptophan,CAD,rs12533939,4.38422222222222,2.08951111111111,0.0358870586659063,0.288855699148174,8.47958874529627
tryptophan,CAD,rs2111118,6.95254901960784,1.84113725490196,0.000159223002023476,3.34398630940506,10.5611117298106
tryptophan,CAD,rs2510595,-5.35733333333333,2.08733333333333,0.0102703334271143,-9.44843149039661,-1.26623517627006
tryptophan,CAD,rs2688858,4.41279069767442,2.16144186046512,0.0411916388997596,0.176442496485542,8.64913889886329
tryptophan,CAD,rs284191,-3.16116666666667,1.60841666666667,0.0493690704070034,-6.3136054054673,-0.00872792786603593
tryptophan,CAD,rs3772343,-2.66610714285714,0.995264285714286,0.00738880247019977,-4.61678929795612,-0.715424987758161
